numt, numnodes, tilesize, volume, mhs, time
32, 11746, 6.52434e-08, 25.312500, 447.656325, 0.308202
32, 11159, 7.22886e-08, 25.312500, 483.931233, 0.257316
32, 10601, 8.00997e-08, 25.312500, 407.824945, 0.275562
32, 10071, 8.87531e-08, 25.312500, 413.808809, 0.245101
32, 9567, 9.83517e-08, 25.312500, 403.691256, 0.226726
32, 9089, 1.0897e-07, 25.312500, 468.085908, 0.176485
32, 8635, 1.20731e-07, 25.312500, 439.281653, 0.169739
32, 8203, 1.33784e-07, 25.312500, 451.261151, 0.149114
32, 7793, 1.48233e-07, 25.312500, 410.643777, 0.147892
32, 7403, 1.64265e-07, 25.312500, 405.467993, 0.135163
32, 7033, 1.82006e-07, 25.312500, 423.229942, 0.116870
32, 6681, 2.01692e-07, 25.312500, 458.248409, 0.097405
32, 6347, 2.23482e-07, 25.312500, 386.952363, 0.104107
32, 6030, 2.47601e-07, 25.312500, 407.910229, 0.089139
32, 5728, 2.74403e-07, 25.312500, 322.385065, 0.101773
32, 5442, 3.04008e-07, 25.312500, 315.484135, 0.093873
32, 5170, 3.36844e-07, 25.312500, 355.223162, 0.075245
32, 4911, 3.73319e-07, 25.312500, 415.103779, 0.058101
32, 4666, 4.13561e-07, 25.312500, 425.068146, 0.051219
32, 4432, 4.58394e-07, 25.312500, 392.702287, 0.050019
32, 4211, 5.07783e-07, 25.312500, 339.454963, 0.052238
32, 4000, 5.62781e-07, 25.312500, 313.217574, 0.051083
32, 3800, 6.23597e-07, 25.312501, 257.749905, 0.056023
32, 3610, 6.90985e-07, 25.312501, 307.254281, 0.042415
32, 3429, 7.6588e-07, 25.312501, 337.101761, 0.034880
32, 3258, 8.48412e-07, 25.312501, 297.898019, 0.035632
32, 3095, 9.4016e-07, 25.312501, 312.733932, 0.030630
32, 2940, 1.04194e-06, 25.312501, 252.999673, 0.034164
32, 2793, 1.15455e-06, 25.312501, 275.111858, 0.028355
32, 2654, 1.2787e-06, 25.312501, 277.200479, 0.025410
32, 2521, 1.41723e-06, 25.312501, 224.321846, 0.028332
32, 2395, 1.57034e-06, 25.312501, 246.958263, 0.023227
32, 2275, 1.74045e-06, 25.312502, 218.229956, 0.023716
32, 2161, 1.92901e-06, 25.312502, 229.570543, 0.020342
32, 2053, 2.13741e-06, 25.312502, 227.853895, 0.018498
32, 1950, 2.36929e-06, 25.312502, 209.933553, 0.018113
32, 1853, 2.62398e-06, 25.312502, 166.004972, 0.020684
32, 1760, 2.90878e-06, 25.312503, 136.421893, 0.022706
32, 1672, 3.22322e-06, 25.312503, 156.098424, 0.017909
32, 1589, 3.56896e-06, 25.312503, 190.898578, 0.013227
32, 1509, 3.95767e-06, 25.312503, 121.974633, 0.018668
32, 1434, 4.38278e-06, 25.312504, 103.796691, 0.019811
32, 1362, 4.85877e-06, 25.312504, 154.701557, 0.011991
32, 1294, 5.38326e-06, 25.312505, 122.521112, 0.013667
32, 1229, 5.96823e-06, 25.312505, 153.688135, 0.009828
32, 1168, 6.60847e-06, 25.312506, 135.110170, 0.010097
32, 1109, 7.331e-06, 25.312506, 110.671303, 0.011113
32, 1054, 8.11682e-06, 25.312507, 121.526896, 0.009141
32, 1001, 9e-06, 25.312508, 92.142412, 0.010874
32, 951, 9.9723e-06, 25.312509, 115.232308, 0.007849
32, 903, 1.10619e-05, 25.312510, 105.218450, 0.007750
32, 858, 1.22541e-05, 25.312511, 101.219394, 0.007273
32, 815, 1.35829e-05, 25.312512, 93.734107, 0.007086
32, 774, 1.5062e-05, 25.312513, 69.039376, 0.008677
32, 736, 1.66597e-05, 25.312515, 55.762983, 0.009714
32, 699, 1.84728e-05, 25.312516, 69.178093, 0.007063
32, 664, 2.04746e-05, 25.312519, 50.428924, 0.008743
32, 631, 2.26757e-05, 25.312520, 60.657881, 0.006564
32, 599, 2.51675e-05, 25.312522, 56.870601, 0.006309
32, 569, 2.78963e-05, 25.312524, 49.360387, 0.006559
32, 541, 3.08642e-05, 25.312527, 49.483726, 0.005915
32, 514, 3.41986e-05, 25.312530, 41.082249, 0.006431
32, 488, 3.79476e-05, 25.312533, 39.941633, 0.005962
32, 463, 4.21656e-05, 25.312537, 36.834579, 0.005820
32, 440, 4.66996e-05, 25.312541, 31.998440, 0.006050
32, 418, 5.17572e-05, 25.312545, 31.006398, 0.005635
32, 397, 5.73921e-05, 25.312550, 19.475244, 0.008093
32, 377, 6.366e-05, 25.312556, 19.483949, 0.007295
32, 359, 7.02225e-05, 25.312561, 23.945175, 0.005382
32, 341, 7.78547e-05, 25.312568, 20.413838, 0.005696
32, 324, 8.62656e-05, 25.312576, 19.009378, 0.005522
32, 307, 9.61169e-05, 25.312584, 17.079521, 0.005518
32, 292, 0.000106281, 25.312593, 11.177445, 0.007628
32, 277, 0.000118147, 25.312603, 14.278098, 0.005374
32, 263, 0.000131111, 25.312615, 12.415135, 0.005571
32, 250, 0.000145159, 25.312627, 7.939495, 0.007872
32, 238, 0.000160231, 25.312640, 11.108546, 0.005099
32, 226, 0.000177778, 25.312656, 9.844175, 0.005188
32, 214, 0.000198373, 25.312674, 8.570871, 0.005343
32, 204, 0.000218399, 25.312691, 4.494877, 0.009259
32, 194, 0.000241617, 25.312711, 7.401944, 0.005085
32, 184, 0.000268745, 25.312735, 6.584275, 0.005142
32, 175, 0.000297265, 25.312760, 4.130119, 0.007415
32, 166, 0.000330579, 25.312789, 5.273911, 0.005225
32, 158, 0.000365126, 25.312820, 5.011865, 0.004981
32, 150, 0.000405387, 25.312855, 4.263335, 0.005278
32, 142, 0.000452694, 25.312896, 3.933200, 0.005127
